Ileak	T	Leff
3.027083e-07	7.148847e+02	2.024082e-08
5.028291e-07	7.231500e+02	2.024082e-08
1.622615e-10	3.181500e+02	2.035102e-08
1.880312e-10	3.264153e+02	2.035102e-08
2.180975e-10	3.346806e+02	2.035102e-08
2.528989e-10	3.429459e+02	2.035102e-08
2.928832e-10	3.512112e+02	2.035102e-08
3.385060e-10	3.594765e+02	2.035102e-08
3.902275e-10	3.677418e+02	2.035102e-08
4.485105e-10	3.760071e+02	2.035102e-08
5.138199e-10	3.842724e+02	2.035102e-08
5.866198e-10	3.925378e+02	2.035102e-08
6.673695e-10	4.008031e+02	2.035102e-08
7.565274e-10	4.090684e+02	2.035102e-08
8.545462e-10	4.173337e+02	2.035102e-08
9.618729e-10	4.255990e+02	2.035102e-08
1.078948e-09	4.338643e+02	2.035102e-08
1.206206e-09	4.421296e+02	2.035102e-08
1.344072e-09	4.503949e+02	2.035102e-08
1.492967e-09	4.586602e+02	2.035102e-08
1.653301e-09	4.669255e+02	2.035102e-08
1.825480e-09	4.751908e+02	2.035102e-08
2.009902e-09	4.834561e+02	2.035102e-08
2.206959e-09	4.917214e+02	2.035102e-08
2.417036e-09	4.999867e+02	2.035102e-08
2.640515e-09	5.082520e+02	2.035102e-08
2.877774e-09	5.165173e+02	2.035102e-08
3.129195e-09	5.247827e+02	2.035102e-08
3.395155e-09	5.330480e+02	2.035102e-08
3.676056e-09	5.413133e+02	2.035102e-08
3.972335e-09	5.495786e+02	2.035102e-08
4.284513e-09	5.578439e+02	2.035102e-08
4.613296e-09	5.661092e+02	2.035102e-08
4.959766e-09	5.743745e+02	2.035102e-08
5.325782e-09	5.826398e+02	2.035102e-08
5.714754e-09	5.909051e+02	2.035102e-08
6.133147e-09	5.991704e+02	2.035102e-08
6.593321e-09	6.074357e+02	2.035102e-08
7.118842e-09	6.157010e+02	2.035102e-08
7.754185e-09	6.239663e+02	2.035102e-08
8.582248e-09	6.322316e+02	2.035102e-08
9.755397e-09	6.404969e+02	2.035102e-08
1.154968e-08	6.487622e+02	2.035102e-08
1.445809e-08	6.570276e+02	2.035102e-08
1.934834e-08	6.652929e+02	2.035102e-08
2.772648e-08	6.735582e+02	2.035102e-08
4.216979e-08	6.818235e+02	2.035102e-08
6.702752e-08	6.900888e+02	2.035102e-08
1.095371e-07	6.983541e+02	2.035102e-08
1.815732e-07	7.066194e+02	2.035102e-08
3.023408e-07	7.148847e+02	2.035102e-08
5.024440e-07	7.231500e+02	2.035102e-08
1.578185e-10	3.181500e+02	2.046122e-08
1.826236e-10	3.264153e+02	2.046122e-08
2.115843e-10	3.346806e+02	2.046122e-08
2.451279e-10	3.429459e+02	2.046122e-08
2.836918e-10	3.512112e+02	2.046122e-08
3.277207e-10	3.594765e+02	2.046122e-08
3.776646e-10	3.677418e+02	2.046122e-08
4.339764e-10	3.760071e+02	2.046122e-08
4.971114e-10	3.842724e+02	2.046122e-08
5.675242e-10	3.925378e+02	2.046122e-08
6.456654e-10	4.008031e+02	2.046122e-08
7.319848e-10	4.090684e+02	2.046122e-08
8.269269e-10	4.173337e+02	2.046122e-08
9.309309e-10	4.255990e+02	2.046122e-08
1.044430e-09	4.338643e+02	2.046122e-08
1.167851e-09	4.421296e+02	2.046122e-08
1.301613e-09	4.503949e+02	2.046122e-08
1.446130e-09	4.586602e+02	2.046122e-08
1.601807e-09	4.669255e+02	2.046122e-08
1.769041e-09	4.751908e+02	2.046122e-08
1.948227e-09	4.834561e+02	2.046122e-08
2.139749e-09	4.917214e+02	2.046122e-08
2.343988e-09	4.999867e+02	2.046122e-08
2.561320e-09	5.082520e+02	2.046122e-08
2.792119e-09	5.165173e+02	2.046122e-08
3.036758e-09	5.247827e+02	2.046122e-08
3.295612e-09	5.330480e+02	2.046122e-08
3.569075e-09	5.413133e+02	2.046122e-08
3.857579e-09	5.495786e+02	2.046122e-08
4.161640e-09	5.578439e+02	2.046122e-08
4.481956e-09	5.661092e+02	2.046122e-08
4.819605e-09	5.743745e+02	2.046122e-08
5.176438e-09	5.826398e+02	2.046122e-08
5.555858e-09	5.909051e+02	2.046122e-08
5.964322e-09	5.991704e+02	2.046122e-08
6.414186e-09	6.074357e+02	2.046122e-08
6.929004e-09	6.157010e+02	2.046122e-08
7.553243e-09	6.239663e+02	2.046122e-08
8.369795e-09	6.322316e+02	2.046122e-08
9.531012e-09	6.404969e+02	2.046122e-08
1.131293e-08	6.487622e+02	2.046122e-08
1.420854e-08	6.570276e+02	2.046122e-08
1.908553e-08	6.652929e+02	2.046122e-08
2.744995e-08	6.735582e+02	2.046122e-08
4.187905e-08	6.818235e+02	2.046122e-08
6.672208e-08	6.900888e+02	2.046122e-08
1.092165e-07	6.983541e+02	2.046122e-08
1.812368e-07	7.066194e+02	2.046122e-08
3.019881e-07	7.148847e+02	2.046122e-08
5.020744e-07	7.231500e+02	2.046122e-08
1.536308e-10	3.181500e+02	2.057143e-08
1.775207e-10	3.264153e+02	2.057143e-08
2.054316e-10	3.346806e+02	2.057143e-08
2.377802e-10	3.429459e+02	2.057143e-08
2.749933e-10	3.512112e+02	2.057143e-08
3.175056e-10	3.594765e+02	2.057143e-08
3.657571e-10	3.677418e+02	2.057143e-08
4.201909e-10	3.760071e+02	2.057143e-08
4.812530e-10	3.842724e+02	2.057143e-08
5.493891e-10	3.925378e+02	2.057143e-08
6.250410e-10	4.008031e+02	2.057143e-08
7.086501e-10	4.090684e+02	2.057143e-08
8.006532e-10	4.173337e+02	2.057143e-08
9.014816e-10	4.255990e+02	2.057143e-08
1.011562e-09	4.338643e+02	2.057143e-08
1.131312e-09	4.421296e+02	2.057143e-08
1.261148e-09	4.503949e+02	2.057143e-08
1.401473e-09	4.586602e+02	2.057143e-08
1.552689e-09	4.669255e+02	2.057143e-08
1.715187e-09	4.751908e+02	2.057143e-08
1.889354e-09	4.834561e+02	2.057143e-08
2.075571e-09	4.917214e+02	2.057143e-08
2.274211e-09	4.999867e+02	2.057143e-08
2.485647e-09	5.082520e+02	2.057143e-08
2.710246e-09	5.165173e+02	2.057143e-08
2.948377e-09	5.247827e+02	2.057143e-08
3.200407e-09	5.330480e+02	2.057143e-08
3.466728e-09	5.413133e+02	2.057143e-08
3.747764e-09	5.495786e+02	2.057143e-08
4.044027e-09	5.578439e+02	2.057143e-08
4.356208e-09	5.661092e+02	2.057143e-08
4.685379e-09	5.743745e+02	2.057143e-08
5.033384e-09	5.826398e+02	2.057143e-08
5.403622e-09	5.909051e+02	2.057143e-08
5.802540e-09	5.991704e+02	2.057143e-08
6.242488e-09	6.074357e+02	2.057143e-08
6.747011e-09	6.157010e+02	2.057143e-08
7.360570e-09	6.239663e+02	2.057143e-08
8.166046e-09	6.322316e+02	2.057143e-08
9.315783e-09	6.404969e+02	2.057143e-08
1.108581e-08	6.487622e+02	2.057143e-08
1.396910e-08	6.570276e+02	2.057143e-08
1.883333e-08	6.652929e+02	2.057143e-08
2.718453e-08	6.735582e+02	2.057143e-08
4.159997e-08	6.818235e+02	2.057143e-08
6.642884e-08	6.900888e+02	2.057143e-08
1.089086e-07	6.983541e+02	2.057143e-08
1.809138e-07	7.066194e+02	2.057143e-08
3.016493e-07	7.148847e+02	2.057143e-08
5.017194e-07	7.231500e+02	2.057143e-08
1.496820e-10	3.181500e+02	2.068163e-08
1.727033e-10	3.264153e+02	2.068163e-08
1.996169e-10	3.346806e+02	2.068163e-08
2.308295e-10	3.429459e+02	2.068163e-08
2.667577e-10	3.512112e+02	2.068163e-08
3.078263e-10	3.594765e+02	2.068163e-08
3.544658e-10	3.677418e+02	2.068163e-08
4.071098e-10	3.760071e+02	2.068163e-08
4.661952e-10	3.842724e+02	2.068163e-08
5.321589e-10	3.925378e+02	2.068163e-08
6.054343e-10	4.008031e+02	2.068163e-08
6.864548e-10	4.090684e+02	2.068163e-08
7.756493e-10	4.173337e+02	2.068163e-08
8.734418e-10	4.255990e+02	2.068163e-08
9.802512e-10	4.338643e+02	2.068163e-08
1.096490e-09	4.421296e+02	2.068163e-08
1.222566e-09	4.503949e+02	2.068163e-08
1.358878e-09	4.586602e+02	2.068163e-08
1.505820e-09	4.669255e+02	2.068163e-08
1.663779e-09	4.751908e+02	2.068163e-08
1.833135e-09	4.834561e+02	2.068163e-08
2.014264e-09	4.917214e+02	2.068163e-08
2.207535e-09	4.999867e+02	2.068163e-08
2.413313e-09	5.082520e+02	2.068163e-08
2.631961e-09	5.165173e+02	2.068163e-08
2.863843e-09	5.247827e+02	2.068163e-08
3.109322e-09	5.330480e+02	2.068163e-08
3.368782e-09	5.413133e+02	2.068163e-08
3.642644e-09	5.495786e+02	2.068163e-08
3.931413e-09	5.578439e+02	2.068163e-08
4.235775e-09	5.661092e+02	2.068163e-08
4.556795e-09	5.743745e+02	2.068163e-08
4.896314e-09	5.826398e+02	2.068163e-08
5.257720e-09	5.909051e+02	2.068163e-08
5.647457e-09	5.991704e+02	2.068163e-08
6.077865e-09	6.074357e+02	2.068163e-08
6.572485e-09	6.157010e+02	2.068163e-08
7.175767e-09	6.239663e+02	2.068163e-08
7.970584e-09	6.322316e+02	2.068163e-08
9.109272e-09	6.404969e+02	2.068163e-08
1.086785e-08	6.487622e+02	2.068163e-08
1.373928e-08	6.570276e+02	2.068163e-08
1.859122e-08	6.652929e+02	2.068163e-08
2.692971e-08	6.735582e+02	2.068163e-08
4.133198e-08	6.818235e+02	2.068163e-08
6.614722e-08	6.900888e+02	2.068163e-08
1.086128e-07	6.983541e+02	2.068163e-08
1.806034e-07	7.066194e+02	2.068163e-08
3.013239e-07	7.148847e+02	2.068163e-08
5.013782e-07	7.231500e+02	2.068163e-08
1.459558e-10	3.181500e+02	2.079184e-08
1.681519e-10	3.264153e+02	2.079184e-08
1.941174e-10	3.346806e+02	2.079184e-08
2.242492e-10	3.429459e+02	2.079184e-08
2.589542e-10	3.512112e+02	2.079184e-08
2.986476e-10	3.594765e+02	2.079184e-08
3.437504e-10	3.677418e+02	2.079184e-08
3.946874e-10	3.760071e+02	2.079184e-08
4.518864e-10	3.842724e+02	2.079184e-08
5.157758e-10	3.925378e+02	2.079184e-08
5.867810e-10	4.008031e+02	2.079184e-08
6.653272e-10	4.090684e+02	2.079184e-08
7.518359e-10	4.173337e+02	2.079184e-08
8.467239e-10	4.255990e+02	2.079184e-08
9.504032e-10	4.338643e+02	2.079184e-08
1.063280e-09	4.421296e+02	2.079184e-08
1.185754e-09	4.503949e+02	2.079184e-08
1.318220e-09	4.586602e+02	2.079184e-08
1.461065e-09	4.669255e+02	2.079184e-08
1.614671e-09	4.751908e+02	2.079184e-08
1.779412e-09	4.834561e+02	2.079184e-08
1.955659e-09	4.917214e+02	2.079184e-08
2.143775e-09	4.999867e+02	2.079184e-08
2.344121e-09	5.082520e+02	2.079184e-08
2.557054e-09	5.165173e+02	2.079184e-08
2.782934e-09	5.247827e+02	2.079184e-08
3.022117e-09	5.330480e+02	2.079184e-08
3.274983e-09	5.413133e+02	2.079184e-08
3.541948e-09	5.495786e+02	2.079184e-08
3.823511e-09	5.578439e+02	2.079184e-08
4.120353e-09	5.661092e+02	2.079184e-08
4.433534e-09	5.743745e+02	2.079184e-08
4.764885e-09	5.826398e+02	2.079184e-08
5.117794e-09	5.909051e+02	2.079184e-08
5.498695e-09	5.991704e+02	2.079184e-08
5.919921e-09	6.074357e+02	2.079184e-08
6.405006e-09	6.157010e+02	2.079184e-08
6.998394e-09	6.239663e+02	2.079184e-08
7.782948e-09	6.322316e+02	2.079184e-08
8.910995e-09	6.404969e+02	2.079184e-08
1.065854e-08	6.487622e+02	2.079184e-08
1.351855e-08	6.570276e+02	2.079184e-08
1.835866e-08	6.652929e+02	2.079184e-08
